               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11323,            0.050851,            0.044409,                   0,                   0,                   0,                   0,            0.071564,            0.022145,            0.029306,            0.070789,           0.0032456,           0.0032456
                   1,             0.11021,            0.051762,            0.044042,                   0,                   0,                   0,                   0,            0.069315,            0.023097,            0.029297,            0.040779,           0.0065681,           0.0065681
                   2,             0.10252,            0.056992,            0.043641,                   0,                   0,                   0,                   0,            0.061963,            0.025041,            0.029202,            0.010757,           0.0098796,           0.0098796
                   3,            0.085557,            0.064024,             0.04233,           0.0014999,            0.084091,           0.0010032,           0.0001577,            0.067294,             0.01694,            0.071805,           0.0099505,           0.0099505,           0.0099505
                   4,            0.073687,            0.067806,            0.038695,           0.0025771,             0.18636,           0.0073793,           0.0021095,            0.054158,            0.022113,            0.058417,           0.0099505,           0.0099505,           0.0099505
                   5,            0.070784,            0.067808,            0.033591,           0.0038618,             0.25909,           0.0043421,          0.00093902,            0.060561,            0.026025,            0.039508,            0.009934,            0.009934,            0.009934
                   6,            0.068408,            0.066876,            0.028943,            0.070449,              0.3081,             0.10809,            0.015633,            0.046315,            0.032717,             0.01982,           0.0099175,           0.0099175,           0.0099175
                   7,              0.0659,            0.066417,            0.025183,            0.075932,             0.16591,              0.1143,            0.018035,            0.043278,            0.027863,            0.016891,            0.009901,            0.009901,            0.009901
                   8,            0.064168,            0.064007,            0.022597,              0.1259,             0.16364,            0.098212,            0.017625,            0.041334,            0.027105,            0.017207,           0.0098845,           0.0098845,           0.0098845
                   9,            0.061128,            0.060568,            0.018063,          0.00049303,            0.065909,          0.00032832,          5.5828e-05,            0.090516,            0.015245,            0.046014,            0.009868,            0.009868,            0.009868
                  10,            0.059306,            0.058684,            0.014376,                   0,                   0,                   0,                   0,            0.098102,            0.015353,            0.084204,           0.0098515,           0.0098515,           0.0098515
                  11,            0.055885,            0.056444,            0.012256,                   0,                   0,                   0,                   0,             0.11295,           0.0060036,             0.40317,            0.009835,            0.009835,            0.009835
                  12,            0.055111,            0.055836,            0.010045,                   0,                   0,                   0,                   0,            0.097874,            0.008317,            0.058243,           0.0098185,           0.0098185,           0.0098185
                  13,             0.05247,            0.051879,           0.0087354,            0.010073,               0.025,           0.0055509,          0.00074631,             0.10065,            0.010555,            0.051355,            0.009802,            0.009802,            0.009802
                  14,            0.050572,            0.049121,            0.006551,          0.00022588,            0.034091,          0.00025088,          4.9822e-05,             0.10625,           0.0083111,            0.092322,           0.0097855,           0.0097855,           0.0097855
                  15,             0.04846,            0.046374,           0.0058488,           0.0018643,            0.070455,           0.0021578,          0.00036189,            0.097286,            0.012771,            0.052618,            0.009769,            0.009769,            0.009769
                  16,            0.047497,             0.04239,           0.0051731,          0.00015437,           0.0045455,          8.0117e-05,          8.0117e-06,            0.096032,            0.010807,            0.035431,           0.0097525,           0.0097525,           0.0097525
                  17,            0.044831,            0.039224,           0.0042574,             0.98369,             0.99545,             0.99099,             0.61462,            0.021506,            0.015014,           0.0021501,            0.009736,            0.009736,            0.009736
                  18,            0.042706,            0.038002,           0.0035865,             0.36835,             0.62169,             0.44162,            0.089719,             0.04283,            0.020102,            0.010058,           0.0097195,           0.0097195,           0.0097195
                  19,            0.041112,            0.036377,           0.0036365,             0.88336,             0.79402,             0.89895,             0.43747,            0.035583,            0.014398,            0.003072,            0.009703,            0.009703,            0.009703
                  20,            0.040444,            0.035527,           0.0032279,            0.010742,               0.075,           0.0085516,           0.0010781,             0.11017,           0.0068649,            0.080502,           0.0096865,           0.0096865,           0.0096865
                  21,            0.038789,            0.033931,           0.0029866,                   0,                   0,                   0,                   0,             0.10089,           0.0080512,            0.050491,             0.00967,             0.00967,             0.00967
                  22,            0.037493,            0.034288,           0.0027899,             0.85783,             0.96219,             0.98132,             0.55028,            0.026904,            0.011432,          0.00076194,           0.0096535,           0.0096535,           0.0096535
                  23,            0.036609,             0.03266,           0.0028029,             0.98807,                   1,             0.99234,             0.64237,            0.018627,            0.011049,          0.00093842,            0.009637,            0.009637,            0.009637
                  24,            0.035602,             0.03023,           0.0025785,             0.97923,             0.99773,              0.9913,             0.67017,            0.023531,            0.011094,          0.00093527,           0.0096205,           0.0096205,           0.0096205
                  25,            0.035685,             0.03104,           0.0027242,             0.98244,                   1,             0.98738,             0.57565,            0.019432,            0.011428,          0.00077295,            0.009604,            0.009604,            0.009604
                  26,            0.034778,            0.029923,           0.0022936,             0.98997,                   1,               0.995,              0.6275,            0.024317,            0.011218,          0.00080981,           0.0095875,           0.0095875,           0.0095875
                  27,            0.034674,            0.029848,           0.0023756,             0.99089,                   1,             0.99318,             0.55498,            0.024744,            0.010026,          0.00062923,            0.009571,            0.009571,            0.009571
                  28,            0.033186,            0.029183,            0.002192,             0.03453,             0.26818,             0.10733,            0.032103,            0.086675,            0.015725,            0.017124,           0.0095545,           0.0095545,           0.0095545
                  29,            0.032625,            0.027485,           0.0023766,             0.87871,             0.77535,             0.86263,             0.53212,            0.033682,            0.017091,           0.0032337,            0.009538,            0.009538,            0.009538
                  30,            0.032266,            0.029082,           0.0021096,              0.9979,             0.95709,             0.97868,             0.73351,            0.020365,           0.0097035,          0.00093503,           0.0095215,           0.0095215,           0.0095215
                  31,            0.030914,            0.029287,           0.0019913,             0.98751,             0.92577,              0.9478,              0.5756,            0.027128,            0.012215,           0.0010699,            0.009505,            0.009505,            0.009505
                  32,            0.030434,            0.028699,           0.0022144,             0.97874,             0.99773,             0.98874,             0.77249,            0.016194,           0.0086264,          0.00094118,           0.0094885,           0.0094885,           0.0094885
                  33,            0.032329,            0.026108,            0.001799,             0.98022,                   1,             0.99305,             0.63513,            0.019348,           0.0094527,          0.00093274,            0.009472,            0.009472,            0.009472
                  34,            0.030682,            0.027354,           0.0018041,             0.18326,               0.275,             0.29349,             0.15299,            0.081303,            0.018385,            0.012718,           0.0094555,           0.0094555,           0.0094555
                  35,            0.030033,            0.027164,           0.0019368,             0.59443,             0.62297,             0.68892,             0.32544,            0.028582,              0.0184,           0.0038083,            0.009439,            0.009439,            0.009439
                  36,            0.029189,            0.026831,           0.0019095,             0.98068,                   1,             0.98482,             0.77852,            0.015796,           0.0082036,          0.00091219,           0.0094225,           0.0094225,           0.0094225
                  37,             0.02868,             0.02615,           0.0018006,             0.98775,                   1,               0.995,             0.67806,            0.020006,           0.0087467,          0.00066671,            0.009406,            0.009406,            0.009406
                  38,            0.028888,            0.025219,           0.0017977,             0.97871,             0.99773,             0.98343,             0.56933,              0.0195,           0.0099319,           0.0011789,           0.0093895,           0.0093895,           0.0093895
                  39,            0.027911,            0.027098,           0.0018052,             0.98074,                   1,             0.98956,             0.72859,            0.017038,           0.0093156,          0.00086627,            0.009373,            0.009373,            0.009373
                  40,            0.028524,            0.025742,           0.0018237,             0.97848,              0.9994,             0.99088,             0.72192,            0.013993,           0.0091662,          0.00096321,           0.0093565,           0.0093565,           0.0093565
                  41,            0.028458,            0.025115,           0.0017934,             0.98712,             0.94293,             0.97443,             0.60334,            0.024238,             0.01176,          0.00079126,             0.00934,             0.00934,             0.00934
                  42,            0.028079,            0.025729,           0.0016163,             0.98106,             0.99773,             0.98995,              0.7049,            0.014996,            0.008671,          0.00076275,           0.0093235,           0.0093235,           0.0093235
                  43,            0.026601,            0.024684,           0.0018428,             0.98006,                   1,             0.98765,             0.78103,            0.014571,           0.0075486,          0.00096517,            0.009307,            0.009307,            0.009307
                  44,            0.026969,            0.025542,           0.0016969,             0.98082,                   1,             0.98383,             0.75231,            0.014144,           0.0087101,          0.00083199,           0.0092905,           0.0092905,           0.0092905
                  45,            0.027444,            0.024826,            0.001645,              0.9771,             0.99773,              0.9833,             0.61128,            0.021886,           0.0091313,            0.000806,            0.009274,            0.009274,            0.009274
                  46,            0.027232,             0.02455,           0.0014969,             0.99017,             0.99008,             0.99493,             0.73684,            0.019487,            0.010494,          0.00065751,           0.0092575,           0.0092575,           0.0092575
                  47,            0.026469,            0.024717,           0.0015887,             0.74746,             0.22107,             0.25682,            0.084595,            0.087008,            0.018488,            0.013507,            0.009241,            0.009241,            0.009241
                  48,            0.026496,            0.024128,           0.0016085,              0.9791,             0.98492,             0.99402,             0.69823,            0.020256,            0.012443,           0.0012939,           0.0092245,           0.0092245,           0.0092245
                  49,            0.025481,            0.024763,           0.0016199,              0.9829,                   1,             0.99011,             0.72939,            0.015751,           0.0081004,          0.00070271,            0.009208,            0.009208,            0.009208
                  50,            0.025339,             0.02413,           0.0015029,             0.97874,             0.99773,             0.98215,             0.78317,            0.013084,           0.0089702,           0.0009191,           0.0091915,           0.0091915,           0.0091915
                  51,            0.026273,            0.024287,           0.0016376,             0.94078,             0.95972,             0.99422,             0.73085,            0.019556,            0.013246,          0.00086789,            0.009175,            0.009175,            0.009175
                  52,            0.026843,            0.023796,           0.0014501,             0.98045,                   1,             0.98638,             0.77878,            0.013735,           0.0086411,          0.00065064,           0.0091585,           0.0091585,           0.0091585
                  53,            0.024331,            0.023785,           0.0013779,             0.87927,              0.8273,             0.89947,             0.59317,            0.030702,             0.01749,           0.0013527,            0.009142,            0.009142,            0.009142
